Latitude,Longitude,normalized_density_rnd(Arts & Entertainment),normalized_density_rnd(College & University),normalized_density_rnd(Event),normalized_density_rnd(Food),normalized_density_rnd(Nightlife Spot),normalized_density_rnd(Outdoors & Recreation),normalized_density_rnd(Professional & Other Places),normalized_density_rnd(Residence),normalized_density_rnd(Shop & Service),normalized_density_rnd(Travel & Transport)
0.21052631578947367,0.8947368421052632,0.4375,0.11538461538461536,0.8,0.058823529411764705,0.24,1.0,0.7894736842105262,0.5714285714285714,0.09523809523809523,0.3076923076923077
0.21052631578947367,0.9473684210526315,0.875,0.07692307692307691,0.4,0.5882352941176471,0.84,1.0,0.631578947368421,0.8571428571428571,0.14285714285714285,0.3076923076923077
0.21052631578947367,1.0,0.5624999999999999,0.07692307692307691,0.6,0.5294117647058824,0.43999999999999995,1.0,0.3157894736842105,0.5714285714285714,0.8095238095238095,0.846153846153846
0.15789473684210525,0.0,0.5,0.11538461538461536,0.6,0.5882352941176471,0.19999999999999998,1.0,0.2105263157894737,0.0,0.6190476190476191,0.3076923076923077
0.15789473684210525,0.05263157894736842,0.25,0.38461538461538464,0.0,0.0,1.0,1.0,0.10526315789473685,0.42857142857142855,0.8571428571428571,0.9230769230769229
0.15789473684210525,0.10526315789473684,0.625,0.2692307692307692,0.8,0.23529411764705882,0.24,0.0,0.5263157894736842,0.5714285714285714,0.7619047619047619,0.0
0.15789473684210525,0.15789473684210525,0.8124999999999999,0.30769230769230765,1.0,0.1764705882352941,0.9199999999999999,0.0,0.7894736842105262,0.7142857142857143,0.9047619047619047,0.07692307692307693
0.15789473684210525,0.21052631578947367,0.6875,0.7307692307692307,0.0,0.8823529411764705,0.76,1.0,0.9473684210526314,0.5714285714285714,0.4761904761904762,0.07692307692307693
0.15789473684210525,0.2631578947368421,0.9375,0.7307692307692307,0.0,0.8823529411764705,0.5199999999999999,0.0,0.4210526315789474,0.14285714285714285,0.7142857142857142,0.23076923076923073
0.15789473684210525,0.3157894736842105,0.25,0.19230769230769232,0.8,0.41176470588235287,0.84,0.0,0.7368421052631579,0.0,0.6190476190476191,0.0
0.15789473684210525,0.3684210526315789,0.25,0.9615384615384615,1.0,0.41176470588235287,0.96,1.0,1.0,1.0,0.8095238095238095,0.46153846153846145
0.15789473684210525,0.42105263157894735,0.875,0.19230769230769232,0.4,0.058823529411764705,0.48,1.0,0.5789473684210527,0.2857142857142857,0.14285714285714285,0.9230769230769229
0.15789473684210525,0.47368421052631576,0.18749999999999997,0.9615384615384615,0.0,0.8235294117647057,0.64,1.0,0.3684210526315789,0.5714285714285714,0.9523809523809524,0.9230769230769229
0.15789473684210525,0.5263157894736842,0.625,1.0,0.2,0.5882352941176471,0.32,0.0,0.6842105263157895,0.2857142857142857,0.7619047619047619,0.9230769230769229
0.15789473684210525,0.5789473684210527,0.875,0.6153846153846153,1.0,0.058823529411764705,0.0,1.0,0.6842105263157895,0.8571428571428571,0.5714285714285714,0.6923076923076923
0.15789473684210525,0.631578947368421,0.875,0.423076923076923,0.0,0.9411764705882353,0.16,0.0,0.4210526315789474,0.14285714285714285,0.7619047619047619,0.07692307692307693
0.15789473684210525,0.6842105263157895,0.6875,0.30769230769230765,0.0,0.9411764705882353,0.16,0.0,0.3157894736842105,1.0,0.3333333333333333,0.23076923076923073
0.15789473684210525,0.7368421052631579,0.875,0.6923076923076923,1.0,0.23529411764705882,0.6,0.0,0.0,0.14285714285714285,0.6190476190476191,0.6153846153846154
0.15789473684210525,0.7894736842105263,0.5,0.846153846153846,0.2,0.9411764705882353,0.8799999999999999,0.0,0.2105263157894737,0.0,0.8095238095238095,0.23076923076923073
0.15789473684210525,0.8421052631578947,0.7499999999999999,0.846153846153846,0.0,0.8235294117647057,0.24,1.0,0.7894736842105262,1.0,0.8571428571428571,0.6153846153846154
0.15789473684210525,0.8947368421052632,0.9375,0.0,0.8,0.8235294117647057,0.16,1.0,0.8421052631578948,0.8571428571428571,0.2857142857142857,0.3076923076923077
0.15789473684210525,0.9473684210526315,0.625,0.34615384615384615,0.0,0.058823529411764705,0.72,0.0,0.9473684210526314,0.5714285714285714,0.9523809523809524,0.3076923076923077
0.15789473684210525,1.0,0.0625,0.2692307692307692,1.0,0.5294117647058824,0.27999999999999997,1.0,0.8947368421052632,0.42857142857142855,0.3333333333333333,0.0
0.10526315789473684,0.0,0.3125,0.6538461538461539,1.0,0.41176470588235287,0.04,1.0,0.8421052631578948,0.0,0.5238095238095238,0.38461538461538464
0.10526315789473684,0.05263157894736842,0.7499999999999999,0.5384615384615384,0.2,1.0,0.0,1.0,0.8947368421052632,1.0,0.8571428571428571,0.9230769230769229
0.10526315789473684,0.10526315789473684,0.8124999999999999,0.9230769230769229,0.2,0.8823529411764705,0.39999999999999997,1.0,0.9473684210526314,0.0,0.9523809523809524,0.38461538461538464
0.10526315789473684,0.15789473684210525,0.5624999999999999,0.8076923076923077,0.4,0.7647058823529411,0.6799999999999999,0.0,0.10526315789473685,0.14285714285714285,0.7142857142857142,0.38461538461538464
0.10526315789473684,0.21052631578947367,0.875,0.5769230769230769,0.2,0.8823529411764705,0.19999999999999998,1.0,0.631578947368421,0.42857142857142855,0.9523809523809524,0.07692307692307693
0.10526315789473684,0.2631578947368421,0.5624999999999999,0.30769230769230765,0.2,0.47058823529411764,0.64,1.0,0.5789473684210527,0.7142857142857143,0.5714285714285714,0.5384615384615384
0.10526315789473684,0.3157894736842105,0.37499999999999994,0.8846153846153846,0.6,0.0,0.5199999999999999,1.0,0.8421052631578948,0.8571428571428571,0.7619047619047619,0.23076923076923073
0.10526315789473684,0.3684210526315789,1.0,0.5769230769230769,0.8,0.7647058823529411,0.16,1.0,0.3157894736842105,0.2857142857142857,0.5238095238095238,0.9230769230769229
0.10526315789473684,0.42105263157894735,0.0625,0.6923076923076923,1.0,0.8823529411764705,0.08,1.0,0.2631578947368421,0.42857142857142855,0.3333333333333333,1.0
0.10526315789473684,0.47368421052631576,0.6875,0.7692307692307693,1.0,0.8823529411764705,0.84,0.0,0.5789473684210527,0.0,0.9047619047619047,0.0
0.10526315789473684,0.5263157894736842,0.4375,0.15384615384615383,0.4,0.3529411764705882,0.7999999999999999,1.0,0.2631578947368421,0.2857142857142857,0.8095238095238095,0.6923076923076923
0.10526315789473684,0.5789473684210527,0.125,0.11538461538461536,0.6,0.5882352941176471,0.16,1.0,0.3157894736842105,0.7142857142857143,0.14285714285714285,0.5384615384615384
0.10526315789473684,0.631578947368421,0.37499999999999994,0.5,0.6,1.0,0.24,1.0,0.4736842105263157,0.8571428571428571,0.4761904761904762,0.7692307692307693
0.10526315789473684,0.6842105263157895,0.875,0.7307692307692307,0.8,0.7647058823529411,0.12,1.0,0.631578947368421,0.0,0.9047619047619047,0.0
0.10526315789473684,0.7368421052631579,0.625,0.2692307692307692,0.6,0.47058823529411764,0.27999999999999997,1.0,0.5263157894736842,0.42857142857142855,0.047619047619047616,0.5384615384615384
0.10526315789473684,0.7894736842105263,0.0,0.6923076923076923,1.0,0.8235294117647057,0.7999999999999999,1.0,0.7894736842105262,0.14285714285714285,0.6666666666666666,0.9230769230769229
0.10526315789473684,0.8421052631578947,0.5,0.03846153846153846,1.0,0.9411764705882353,0.76,1.0,0.052631578947368425,0.14285714285714285,0.0,0.23076923076923073
0.10526315789473684,0.8947368421052632,0.6875,0.5384615384615384,0.2,0.8235294117647057,0.6799999999999999,0.0,0.7894736842105262,0.8571428571428571,0.9523809523809524,0.46153846153846145
0.10526315789473684,0.9473684210526315,0.875,0.7692307692307693,0.2,0.23529411764705882,0.27999999999999997,0.0,0.5789473684210527,0.5714285714285714,0.7142857142857142,0.46153846153846145
0.10526315789473684,1.0,0.18749999999999997,0.9615384615384615,0.8,0.7647058823529411,0.24,0.0,0.8947368421052632,1.0,0.2857142857142857,0.07692307692307693
0.05263157894736842,0.0,0.8124999999999999,0.7692307692307693,1.0,0.3529411764705882,0.39999999999999997,1.0,0.4210526315789474,0.8571428571428571,0.6190476190476191,0.15384615384615385
0.05263157894736842,0.05263157894736842,0.6875,0.9230769230769229,1.0,0.11764705882352941,0.84,0.0,0.5789473684210527,0.0,0.9047619047619047,0.6923076923076923
0.05263157894736842,0.10526315789473684,0.5624999999999999,0.30769230769230765,1.0,0.5882352941176471,0.43999999999999995,1.0,0.052631578947368425,0.42857142857142855,0.047619047619047616,0.846153846153846
0.05263157894736842,0.15789473684210525,0.25,0.6538461538461539,1.0,0.5882352941176471,0.5599999999999999,1.0,0.4736842105263157,0.7142857142857143,0.5238095238095238,0.46153846153846145
0.05263157894736842,0.21052631578947367,0.18749999999999997,0.846153846153846,0.4,1.0,0.9199999999999999,0.0,0.15789473684210525,0.5714285714285714,0.4761904761904762,0.15384615384615385
0.05263157894736842,0.2631578947368421,0.37499999999999994,0.6153846153846153,0.2,0.29411764705882354,0.36,0.0,0.6842105263157895,0.42857142857142855,0.2380952380952381,0.7692307692307693
0.05263157894736842,0.3157894736842105,0.25,0.0,0.2,0.3529411764705882,0.0,0.0,0.7368421052631579,0.7142857142857143,0.0,0.6153846153846154
0.05263157894736842,0.3684210526315789,0.3125,0.30769230769230765,0.0,0.5882352941176471,0.8799999999999999,1.0,0.2631578947368421,0.42857142857142855,0.5238095238095238,1.0
0.05263157894736842,0.42105263157894735,0.18749999999999997,0.0,0.6,0.3529411764705882,0.48,0.0,0.8947368421052632,1.0,0.42857142857142855,0.6153846153846154
0.05263157894736842,0.47368421052631576,0.8124999999999999,1.0,0.6,1.0,0.16,1.0,0.2631578947368421,1.0,0.8095238095238095,0.5384615384615384
0.05263157894736842,0.5263157894736842,0.4375,0.23076923076923073,0.8,0.5882352941176471,0.6,0.0,0.2105263157894737,0.8571428571428571,1.0,0.846153846153846
0.05263157894736842,0.5789473684210527,0.875,0.9230769230769229,0.2,0.5294117647058824,0.9199999999999999,0.0,1.0,1.0,0.7619047619047619,0.07692307692307693
0.05263157894736842,0.631578947368421,0.5,0.846153846153846,0.8,0.0,0.84,1.0,0.8421052631578948,0.0,0.42857142857142855,0.23076923076923073
0.05263157894736842,0.6842105263157895,0.25,1.0,1.0,0.8823529411764705,0.0,1.0,0.5263157894736842,0.8571428571428571,0.6666666666666666,0.3076923076923077
0.05263157894736842,0.7368421052631579,0.0625,0.9615384615384615,0.0,0.8823529411764705,0.64,0.0,0.8421052631578948,1.0,0.42857142857142855,1.0
0.05263157894736842,0.7894736842105263,0.7499999999999999,0.6538461538461539,0.2,0.11764705882352941,0.24,1.0,0.631578947368421,0.2857142857142857,0.9047619047619047,0.38461538461538464
0.05263157894736842,0.8421052631578947,0.7499999999999999,0.30769230769230765,0.8,0.11764705882352941,0.96,0.0,0.7368421052631579,0.2857142857142857,0.2857142857142857,0.6923076923076923
0.05263157894736842,0.8947368421052632,0.0625,1.0,0.6,0.23529411764705882,0.72,0.0,0.052631578947368425,0.5714285714285714,0.5714285714285714,0.6923076923076923
0.05263157894736842,0.9473684210526315,0.7499999999999999,0.6153846153846153,0.8,0.9411764705882353,0.9199999999999999,0.0,0.2631578947368421,0.8571428571428571,0.7619047619047619,0.23076923076923073
0.05263157894736842,1.0,0.625,0.6923076923076923,1.0,0.8235294117647057,0.8799999999999999,0.0,0.15789473684210525,0.0,0.14285714285714285,0.07692307692307693
0.0,0.0,0.25,0.423076923076923,0.2,0.058823529411764705,0.48,0.0,1.0,0.42857142857142855,0.7619047619047619,0.6153846153846154
0.0,0.05263157894736842,0.0,0.5,1.0,0.9411764705882353,0.8799999999999999,0.0,0.052631578947368425,0.2857142857142857,0.8095238095238095,0.6153846153846154
0.0,0.10526315789473684,0.0625,0.03846153846153846,0.6,0.7058823529411764,0.19999999999999998,0.0,0.3157894736842105,0.5714285714285714,0.047619047619047616,0.3076923076923077
0.0,0.15789473684210525,0.125,0.9230769230769229,0.2,0.0,0.6,1.0,0.5789473684210527,0.5714285714285714,0.2857142857142857,0.6153846153846154
0.0,0.21052631578947367,0.125,0.03846153846153846,0.6,0.47058823529411764,0.8799999999999999,1.0,0.5789473684210527,0.0,0.3333333333333333,0.9230769230769229
0.0,0.2631578947368421,1.0,0.6538461538461539,0.8,0.29411764705882354,0.0,0.0,0.4210526315789474,0.5714285714285714,0.8571428571428571,0.3076923076923077
0.0,0.3157894736842105,0.0625,0.19230769230769232,0.6,0.11764705882352941,0.19999999999999998,0.0,0.4210526315789474,0.42857142857142855,0.38095238095238093,0.846153846153846
0.0,0.3684210526315789,0.25,0.9230769230769229,0.2,0.0,0.7999999999999999,0.0,1.0,0.0,0.19047619047619047,0.5384615384615384
0.0,0.42105263157894735,1.0,0.8076923076923077,0.0,0.7647058823529411,0.84,0.0,0.4736842105263157,0.7142857142857143,0.047619047619047616,0.3076923076923077
0.0,0.47368421052631576,0.875,0.38461538461538464,0.0,0.8235294117647057,0.84,1.0,0.7368421052631579,0.42857142857142855,0.2380952380952381,0.3076923076923077
0.0,0.5263157894736842,0.625,0.5,0.8,0.8823529411764705,0.7999999999999999,1.0,0.4736842105263157,0.14285714285714285,0.4761904761904762,0.15384615384615385
0.0,0.5789473684210527,0.8124999999999999,0.6153846153846153,0.6,0.7647058823529411,0.39999999999999997,0.0,0.4210526315789474,0.14285714285714285,0.9523809523809524,0.07692307692307693
0.0,0.631578947368421,0.6875,0.7307692307692307,1.0,0.0,0.36,1.0,0.8421052631578948,0.14285714285714285,0.8095238095238095,0.3076923076923077
0.0,0.6842105263157895,0.6875,0.07692307692307691,0.0,0.5294117647058824,0.27999999999999997,1.0,0.8947368421052632,0.0,0.14285714285714285,0.5384615384615384
0.0,0.7368421052631579,0.18749999999999997,0.846153846153846,0.8,0.5882352941176471,0.16,1.0,0.0,0.42857142857142855,0.42857142857142855,0.38461538461538464
0.0,0.7894736842105263,0.37499999999999994,0.5769230769230769,1.0,0.0,0.12,1.0,0.7368421052631579,0.2857142857142857,1.0,0.5384615384615384
0.0,0.8421052631578947,0.7499999999999999,0.5384615384615384,0.0,0.23529411764705882,0.36,0.0,0.10526315789473685,0.2857142857142857,0.9047619047619047,1.0
0.0,0.8947368421052632,0.5,0.5384615384615384,0.8,0.8823529411764705,0.72,1.0,1.0,0.8571428571428571,0.42857142857142855,0.5384615384615384
0.0,0.9473684210526315,1.0,0.5769230769230769,1.0,0.1764705882352941,0.39999999999999997,0.0,0.6842105263157895,0.14285714285714285,0.5238095238095238,0.6923076923076923
0.0,1.0,0.625,0.6153846153846153,0.8,0.8823529411764705,0.9199999999999999,0.0,0.5263157894736842,0.5714285714285714,0.14285714285714285,0.6923076923076923
